fid,objectid,area,perimeter,greenway,greenway_i,name,acres,sqmiles,nhood,dpwdiv,shape_leng,date_resol,label,shape_length,shape_area
,2,2064315.58483373,21532.10546875,7,1,Spring Hill Spring Garden,47.3903545,0.07404743,,1,21532.104694,1981-06-29T00:00:00,Spring Hill / Spring Garden Greenway,,
,23,1858946.71469059,31202.04492188,0,4,Beechview Seldom Seen,42.67571512,0.0666808,Beechview,5,31202.0456526,1985-07-15T00:00:00,Beechview - Seldom Seen Greenway,,
,25,256683.32226773,48166.9375,3,2,Hazelwood,5.89266182,0.00920728,Hazelwood,3,41209.8857304,1983-03-28T00:00:00,Hazelwood Greenway,,
,47,558135.17568293,18576.34375,6,7,Perry South,12.81307181,0.02002042,Perry South,1,18576.3430879,2010-03-02T00:00:00,Perry South Greenway,,
,0,1201580.41325962,26922.01757813,4,6,Moore,27.584601,0.04310094,Brookline,5,26922.0176189,2006-10-20T00:00:00,Moore Greenway,,
,24771,781376.5962273,22569.24804688,5,8,Observatory Hill Hollows,17.93801014,0.02802814,Perry North,1,22591.5180128,2010-11-03T00:00:00,Observatory Hill Hollows Greenway,,
,0,1523837.6436447,24508.02734375,0,9,Allegheny River,34.98263864,0.05466037,,2,24508.0271153,2011-03-08T00:00:00,Allegheny River Greenway,,
,0,222644.74347781,6321.64794922,0,10,Oakcliffe,5.11124045,0.00798631,South Oakland,3,6321.64819273,2011-04-06T00:00:00,Oakcliffe Greenway,,
,0,1053815.26108996,55200.765625,0,11,Bigelow,24.19236631,0.03780057,,0,721.50023961,2012-05-11T00:00:00,Bigelow Greenway,,
,,508394.17266811,3822.36108398,,12,Nine Mile Run,11.67117094,0.0182362,Squirrel Hill South,3,,2012-05-11T00:00:00,Nine Mile Run Greenway,,
